@relation 'Dados Consumo x Met M 01-2019_09-2020 HFP'

@attribute Data date 'MM-yyyy' 
@attribute 'Consumo HFP (KWh)' numeric
@attribute 'Dias com precipitacao' numeric
@attribute 'Precipitacao total (mm)' numeric
@attribute 'Temperatura media (°C)' numeric
@attribute 'Velocidade maxima do vento (m/s)' numeric

@data
01-2019,70080,13,115,24.416263,7.1
02-2019,58320,16,304.6,23.563975,7.3
03-2019,68400,17,155.4,23.015025,10.1
04-2019,74160,13,140.4,22.598931,4.5
05-2019,76560,6,4.2,21.435606,4.7
06-2019,78960,3,1,16.998958,5.6
07-2019,73920,2,0.6,15.730108,7.4
08-2019,61440,2,5,18.635435,5.1
09-2019,74400,3,59.8,22.575694,4.7
10-2019,70560,8,38.4,23.263575,8.1
11-2019,67440,18,222.2,23.732879,7.8
12-2019,70560,20,220.4,23.368741,6.2
01-2020,62160,26,318.8,24.047446,10.1
02-2020,51360,25,452.8,23.118809,6.6
03-2020,63120,14,68.2,22.755779,6.3
04-2020,63360,13,87,21.454306,6.9
05-2020,45600,12,42.8,17.244489,4.2
06-2020,43680,2,0.4,17.633889,6.2
07-2020,42720,0,0,17.798521,6.1
08-2020,43920,1,8.8,17.652065,5.4
09-2020,44880,2,13,21.476806,5.2
