@relation 'Dados Consumo x Met M 01-2019_09-2020 HP'

@attribute Data date 'MM-yyyy'
@attribute 'Consumo HP (KWh)' numeric
@attribute 'Dias com precipitacao' numeric
@attribute 'Precipitacao total (mm)' numeric
@attribute 'Temperatura media (°C)' numeric
@attribute 'Velocidade maxima do vento (m/s)' numeric

@data
01-2019,6480,13,115,24.416263,7.1
02-2019,5040,16,304.6,23.563975,7.3
03-2019,6960,17,155.4,23.015025,10.1
04-2019,7440,13,140.4,22.598931,4.5
05-2019,9120,6,4.2,21.435606,4.7
06-2019,9360,3,1,16.998958,5.6
07-2019,7920,2,0.6,15.730108,7.4
08-2019,6480,2,5,18.635435,5.1
09-2019,8400,3,59.8,22.575694,4.7
10-2019,8160,8,38.4,23.263575,8.1
11-2019,8160,18,222.2,23.732879,7.8
12-2019,7680,20,220.4,23.368741,6.2
01-2020,6000,26,318.8,24.047446,10.1
02-2020,4560,25,452.8,23.118809,6.6
03-2020,6240,14,68.2,22.755779,6.3
04-2020,6480,13,87,21.454306,6.9
05-2020,4320,12,42.8,17.244489,4.2
06-2020,4080,2,0.4,17.633889,6.2
07-2020,4560,0,0,17.798521,6.1
08-2020,4800,1,8.8,17.652065,5.4
09-2020,4320,2,13,21.476806,5.2
