@relation 'Fevereiro2020'

@attribute Data date 'yyyy-MM-dd'
@attribute 'Geracao (Kwh)' numeric

@data
2020-02-01,63.726
2020-02-02,64.931
2020-02-03,32.532
2020-02-04,74.063
2020-02-05,45.079
2020-02-06,60.638
2020-02-07,61.735
2020-02-08,59.434
2020-02-09,60.187
2020-02-10,50.775
2020-02-11,67.623
2020-02-12,81.806
2020-02-13,38.689
2020-02-14,66.317
2020-02-15,43.829
2020-02-16,36.761
2020-02-17,51.991
2020-02-18,49.827
2020-02-19,41.246
2020-02-20,129.539
2020-02-21,50.145
2020-02-22,46.000
2020-02-23,57.639
2020-02-24,42.828
2020-02-25,44.463
2020-02-26,65.051
2020-02-27,46.561
2020-02-28,51.000
2020-02-29,41.609
