@relation 'JanFevMar2019-2020 x Met'

@attribute Data date 'yyyy-MM-dd'
@attribute 'Geracao (Kwh)' numeric
@attribute 'Precipitacao total (mm)' numeric
@attribute 'Temperatura media (°C)' numeric
@attribute 'Velocidade maxima do vento (m/s)' numeric

@data
2019-01-01,59.51,4,22.5875,13
2019-01-02,48.55,5,23.795833,9
2019-01-03,47.454,0,23.708333,13.9
2019-01-04,43.596,11.8,22.066667,6.9
2019-01-05,67.306,4.6,22.345833,8.5
2019-01-06,37.895,14,23.758333,10.4
2019-01-07,116.301,2.6,24.566667,8.1
2019-01-08,76.092,0,25.208333,6.3
2019-01-09,54.665,0.4,24.2625,13.8
2019-01-10,49.906,0.2,23.0375,7.8
2019-01-11,66.825,0,23.870833,6.1
2019-01-12,54.374,0,24.4,7.4
2019-01-13,61.604,0,25.320833,6.8
2019-01-14,85.209,0,26.020833,7.1
2019-01-15,108.01,0,25.220833,5.7
2019-01-16,100.768,0,25.604167,9.1
2019-01-17,84.875,0,25.6625,10.7
2019-01-18,95.027,0,25.533333,7.5
2019-01-19,51.385,2.6,25.625,10.3
2019-01-20,55.986,0.2,25.741667,9
2019-01-21,132.769,0,26.191667,5.6
2019-01-22,95.941,0,26.470833,22.4
2019-01-23,99.329,18,25.045833,12.8
2019-01-24,91.122,0,25.408333,6.5
2019-01-25,58.369,0,24.558333,12.4
2019-01-26,38.684,38.6,19.4125,15.9
2019-01-27,29.952,13,22.345833,9.1
2019-01-28,56.855,0,23.808333,8
2019-01-29,76.083,0,24.908333,8.3
2019-01-30,87.143,0,25.266667,6.6
2019-01-31,112.379,0,25.15,5.2
2019-02-01,90.689,0,25.375,7.8
2019-02-02,81.333,0,25.429167,6.3
2019-02-03,48.342,0,26.033333,6.3
2019-02-04,99.352,1.2,24.145833,15
2019-02-05,59.479,0,23.9625,12.3
2019-02-06,43.537,0,22.041667,6.1
2019-02-07,54.169,32.6,21.445833,9.9
2019-02-08,51.963,10.4,23.458333,11.2
2019-02-09,50.253,0.2,24.533333,5.9
2019-02-10,73.366,0,24.5875,9.9
2019-02-11,58.693,0,23.5625,11.7
2019-02-12,86.768,0,24.191667,9.4
2019-02-13,58.297,0,23.295652,10.1
2019-02-14,57.336,10.8,22.283333,4.6
2019-02-15,56.562,1,23.545833,6
2019-02-16,30.753,3.4,22.095652,5.2
2019-02-17,58.095,96.4,22.358333,7
2019-02-18,70.541,12.2,22.570833,8.8
2019-02-19,98.548,57.8,23.083333,12.6
2019-02-20,69.362,1.8,23.3125,13.1
2019-02-21,56.241,44.6,21.6625,13.8
2019-02-22,73.467,2.6,24.570833,7.6
2019-02-23,39.989,0.2,24.5125,10.8
2019-02-24,47.687,0,24.05,15.5
2019-02-25,62.904,0,25.35,9.2
2019-02-26,56.585,0,22.475,15
2019-02-27,94.889,4.4,23.1,7.6
2019-02-28,102.337,25,22.758333,13.4
2019-03-01,63.662,22.2,22.020833,10.7
2019-03-02,54.753,48.6,21.378261,9.8
2019-03-03,52.234,12.8,22.016667,6.9
2019-03-04,57.733,18,21.254167,7.8
2019-03-05,69.035,10.4,22.929167,6.3
2019-03-06,61.087,0,23.795833,15.1
2019-03-07,62.468,0,23.6,13.4
2019-03-08,105.34,0,24.5625,8
2019-03-09,79.467,0,25.5,6
2019-03-10,51.826,0,25.7125,8.5
2019-03-11,79.03,0,23.695833,8.6
2019-03-12,47.098,3.4,22.2,9.1
2019-03-13,95.246,3,23.929167,9.4
2019-03-14,52.281,0,22.120833,15.1
2019-03-15,56,8,22.183333,15.5
2019-03-16,40.747,0.6,24.4875,6.5
2019-03-17,48.819,4.8,23.425,12
2019-03-18,79.213,0.2,23.120833,12.8
2019-03-19,75.151,4.4,24.341667,8.9
2019-03-20,76.12,0.2,24.533333,8.5
2019-03-21,54.239,1.8,23.6875,5.4
2019-03-22,30.297,14.2,20.475,10.6
2019-03-23,59.651,2.6,21.770833,6.9
2019-03-24,65.979,0.2,22.395833,4.3
2019-03-25,104.259,0,22.875,5.2
2019-03-26,95.904,0,22.858333,5.1
2019-03-27,97.154,0,22.9875,5.3
2019-03-28,111.985,0,22.766667,6
2019-03-29,100.75,0,22.8125,4.8
2019-03-30,85.406,0,22.225,4.6
2019-03-31,49.973,0,21.804167,5.8
2020-01-01,47.33,0,23.779167,20.1
2020-01-02,53.879,38,22.520833,5.5
2020-01-03,56.369,4.8,23,10.6
2020-01-04,23.754,27.6,22.670833,9.6
2020-01-05,66.719,14.4,23.941667,8.2
2020-01-06,49.762,0.2,24.345833,11.8
2020-01-07,55.885,1.6,24.791667,8.8
2020-01-08,42.689,10.2,22.795833,10.7
2020-01-09,66.758,12.6,23.825,11.3
2020-01-10,66.415,0.2,25.391667,7.8
2020-01-11,82.214,0,24.416667,20.6
2020-01-12,48.468,1.2,26.583333,6.3
2020-01-13,111.075,1.6,25.7375,8
2020-01-14,77.858,0.2,25.416667,11
2020-01-15,44.828,0,24.641667,14.6
2020-01-16,54.866,0.2,25.741667,9.1
2020-01-17,99.589,32.8,24.2,10.6
2020-01-18,81.92,1,24.329167,7.6
2020-01-19,66.156,6.8,24.270833,8.8
2020-01-20,42.611,1.2,22.679167,10.5
2020-01-21,64.296,24.2,24.020833,5.6
2020-01-22,51.932,1.2,22.633333,9.6
2020-01-23,36.751,22,22,6.5
2020-01-24,55.396,81.4,22.495833,10.8
2020-01-25,77.082,23.4,22.816667,5.3
2020-01-26,29.808,0.6,23.758333,5.1
2020-01-27,60.013,0,24.283333,5.6
