@relation JanFevMar2019-2020

@attribute Data date 'yyyy-MM-dd'
@attribute 'Geracao (Kwh)' numeric

@data
2019-01-01,59.51
2019-01-02,48.55
2019-01-03,47.454
2019-01-04,43.596
2019-01-05,67.306
2019-01-06,37.895
2019-01-07,116.301
2019-01-08,76.092
2019-01-09,54.665
2019-01-10,49.906
2019-01-11,66.825
2019-01-12,54.374
2019-01-13,61.604
2019-01-14,85.209
2019-01-15,108.01
2019-01-16,100.768
2019-01-17,84.875
2019-01-18,95.027
2019-01-19,51.385
2019-01-20,55.986
2019-01-21,132.769
2019-01-22,95.941
2019-01-23,99.329
2019-01-24,91.122
2019-01-25,58.369
2019-01-26,38.684
2019-01-27,29.952
2019-01-28,56.855
2019-01-29,76.083
2019-01-30,87.143
2019-01-31,112.379
2019-02-01,90.689
2019-02-02,81.333
2019-02-03,48.342
2019-02-04,99.352
2019-02-05,59.479
2019-02-06,43.537
2019-02-07,54.169
2019-02-08,51.963
2019-02-09,50.253
2019-02-10,73.366
2019-02-11,58.693
2019-02-12,86.768
2019-02-13,58.297
2019-02-14,57.336
2019-02-15,56.562
2019-02-16,30.753
2019-02-17,58.095
2019-02-18,70.541
2019-02-19,98.548
2019-02-20,69.362
2019-02-21,56.241
2019-02-22,73.467
2019-02-23,39.989
2019-02-24,47.687
2019-02-25,62.904
2019-02-26,56.585
2019-02-27,94.889
2019-02-28,102.337
2019-03-01,63.662
2019-03-02,54.753
2019-03-03,52.234
2019-03-04,57.733
2019-03-05,69.035
2019-03-06,61.087
2019-03-07,62.468
2019-03-08,105.34
2019-03-09,79.467
2019-03-10,51.826
2019-03-11,79.03
2019-03-12,47.098
2019-03-13,95.246
2019-03-14,52.281
2019-03-15,56
2019-03-16,40.747
2019-03-17,48.819
2019-03-18,79.213
2019-03-19,75.151
2019-03-20,76.12
2019-03-21,54.239
2019-03-22,30.297
2019-03-23,59.651
2019-03-24,65.979
2019-03-25,104.259
2019-03-26,95.904
2019-03-27,97.154
2019-03-28,111.985
2019-03-29,100.75
2019-03-30,85.406
2019-03-31,49.973
2020-01-01,47.33
2020-01-02,53.879
2020-01-03,56.369
2020-01-04,23.754
2020-01-05,66.719
2020-01-06,49.762
2020-01-07,55.885
2020-01-08,42.689
2020-01-09,66.758
2020-01-10,66.415
2020-01-11,82.214
2020-01-12,48.468
2020-01-13,111.075
2020-01-14,77.858
2020-01-15,44.828
2020-01-16,54.866
2020-01-17,99.589
2020-01-18,81.92
2020-01-19,66.156
2020-01-20,42.611
2020-01-21,64.296
2020-01-22,51.932
2020-01-23,36.751
2020-01-24,55.396
2020-01-25,77.082
2020-01-26,29.808
2020-01-27,60.013
2020-01-28,47.758
2020-01-29,73.378
2020-01-30,55.864
2020-01-31,86.564
2020-02-01,63.726
2020-02-02,64.931
2020-02-03,32.532
2020-02-04,74.063
2020-02-05,45.079
2020-02-06,60.638
2020-02-07,61.735
2020-02-08,59.434
2020-02-09,60.187
2020-02-10,50.775
2020-02-11,67.623
2020-02-12,81.806
2020-02-13,38.689
2020-02-14,66.317
2020-02-15,43.829
2020-02-16,36.761
2020-02-17,51.991
2020-02-18,49.827
2020-02-19,41.246
2020-02-20,129.539
2020-02-21,50.145
2020-02-22,46
2020-02-23,57.639
2020-02-24,42.828
2020-02-25,44.463
2020-02-26,65.051
2020-02-27,46.561
2020-02-28,51
2020-02-29,41.609
2020-03-01,39.45
2020-03-02,44.013
2020-03-03,58.817
2020-03-04,39.733
2020-03-05,76.033
2020-03-06,56.376
2020-03-07,52.871
2020-03-08,61.061
2020-03-09,93.345
2020-03-10,79.589
2020-03-11,48.922
2020-03-12,107.222
2020-03-13,67.133
2020-03-14,41.321
2020-03-15,44.357
2020-03-16,86.712
2020-03-17,75.245
2020-03-18,54.622
2020-03-19,68.567
2020-03-20,48.999
2020-03-21,63.469
2020-03-22,57.141
2020-03-23,92.999
2020-03-24,56.233
2020-03-25,57.307
2020-03-26,44.832
2020-03-27,57.826
2020-03-28,46.729
2020-03-29,61.283
2020-03-30,79.435
2020-03-31,64.146
