@relation 'Julho2020'

@attribute Data date 'yyyy-MM-dd'
@attribute 'Geracao (Kwh)' numeric

@data
2020-07-01,75.770
2020-07-02,71.409
2020-07-03,84.324
2020-07-04,96.092
2020-07-05,63.127
2020-07-06,96.857
2020-07-07,100.131
2020-07-08,90.466
2020-07-09,82.695
2020-07-10,95.043
2020-07-11,95.441
2020-07-12,87.629
2020-07-13,95.012
2020-07-14,80.213
2020-07-15,90.168
2020-07-16,84.738
2020-07-17,96.513
2020-07-18,74.543
2020-07-19,60.464
2020-07-20,92.669
2020-07-21,100.847
2020-07-22,100.245
2020-07-23,100.849
2020-07-24,101.643
2020-07-25,86.121
2020-07-26,92.079
2020-07-27,76.042
2020-07-28,99.537
2020-07-29,97.600
2020-07-30,77.295
2020-07-31,108.376
