@relation '2019-2020 x Met'

@attribute Data date 'MM-yyyy'
@attribute 'Geracao (Kwh)' numeric
@attribute 'Dias com precipitacao' numeric
@attribute 'Precipitacao total (mm)' numeric
@attribute 'Temperatura media (°C)' numeric
@attribute 'Velocidade maxima do vento (m/s)' numeric

@data
01-2019,2243.964,13,115,24.416263,7.1
02-2019,1831.537,16,304.6,23.563975,7.3
03-2019,2162.907,17,155.4,23.015025,10.1
04-2019,2172.228,13,140.4,22.598931,4.5
05-2019,2050.595,6,4.2,21.435606,4.7
06-2019,1270.996,3,1,16.998958,5.6
07-2019,3144.4,2,0.6,15.730108,7.4
08-2019,2484.158,2,5,18.635435,5.1
09-2019,2567.515,3,59.8,22.575694,4.7
10-2019,2406.894,8,38.4,23.263575,8.1
11-2019,1935.89,18,222.2,23.732879,7.8
12-2019,2031.962,20,220.4,23.368741,6.2
01-2020,1877.987,26,318.8,24.047446,10.1
02-2020,1626.024,25,452.8,23.118809,6.6
03-2020,1925.788,14,68.2,22.755779,6.3
04-2020,1768.862,13,87,21.454306,6.9
05-2020,2236.456,12,42.8,17.244489,4.2
06-2020,2353.482,2,0.4,17.633889,6.2
07-2020,2753.938,0,0,17.798521,6.1
08-2020,2567.959,1,8.8,17.652065,5.4
09-2020,2420.92,2,13,21.476806,5.2
10-2020,2009.756,13,234.4,23.677285,7.5
11-2020,1793.419,16,114.8,22.733264,8.1
12-2020,1947.975,24,305.8,23.43688,6.1
