@relation 2019-2020

@attribute Data date 'MM-yyyy'
@attribute 'Geracao (Kwh)' numeric

@data
01-2019,2243.964
02-2019,1831.537
03-2019,2162.907
04-2019,2172.228
05-2019,2050.595
06-2019,1270.996
07-2019,3144.4
08-2019,2484.158
09-2019,2567.515
10-2019,2406.894
11-2019,1935.89
12-2019,2031.962
01-2020,1877.987
02-2020,1626.024
03-2020,1925.788
04-2020,1768.862
05-2020,2236.456
06-2020,2353.482
07-2020,2753.938
08-2020,2567.959
09-2020,2420.92
10-2020,2009.756
11-2020,1793.419
12-2020,1947.975
